Source,Target
Alia Amin,Jacco van Ossenbruggen
Alia Amin,Lynda Hardman
Alia Amin,Michiel Hildebrand
Alia Amin,Vanessa Evers
Alice Han,Ivan Davtchev
Alice Han,Jamie Hoover
Alice Han,Sharad Verma
Alice Han,Tom Chi
Alice Marascu,Florent Masseglia
Alice Marascu,Pascal Poncelet
Alicia Guerrero-Curieses,Jesús Cid-Sueiro
Alicia Guerrero-Curieses,Rocío Alaíz-Rodríguez
Alina Beygelzimer,Bianca Zadrozny
Alina Beygelzimer,John Langford 0001
Alistair Moffat,Justin Zobel
Alistair Moffat,William Webber
Alkis Simitsis,Kevin Wilkinson
Alkis Simitsis,Verena Kantere
Allan Hanbury,Nicu Sebe
Allan Hanbury,Theo Gevers
Allison W. Lee,Holly Casaletto
Allison W. Lee,Khaled Yagoub
Allison W. Lee,Mohamed Zaït
Allison W. Lee,Rafi Ahmed
Allison W. Lee,Ravi Sahani
Allison W. Lee,Thierry Cruanes
Alok Watve,Gang Qian
Alon Altman,Ariel D. Procaccia
Alon Altman,Moshe Tennenholtz
Alon Altman,Yoav Shoham
Alvaro A. A. Fernandes,Giovanna Guerrini
Alvaro A. A. Fernandes,Marco Mesiti
Alvina Goh,Christophe Lenglet
Alvina Goh,Paul M. Thompson
Alvina Goh,René Vidal
Alípio Mário Jorge,Jorge Freire de Sousa
Aman Kansal,Catharine van Ingen
Aman Kansal,Feng Zhao 0001
Aman Kansal,Marc Parlange
Aman Kansal,Stewart Tansley
Aman Kansal,Suman Nath
Aman Sinha,Eugene Szedenits Jr.
Amanda Jane Coles,Andrew Coles
Amanda Jane Coles,Derek Long
Amanda Jane Coles,Maria Fox
Amarjeet Singh 0001,Andreas Krause 0001
Amarjeet Singh 0001,William J. Kaiser
Amber Chauncey,Ashley Fike
Amber Chauncey,Candice Burkett
Amelio Vázquez Reina,Eric L. Miller 0001
Amelio Vázquez Reina,Hanspeter Pfister
Ami Eyal,Avigdor Gal
Amin Saberi,Ying Wang
Amir Hossein Razavi,Alexandre Kouznetsov
Amir Hossein Razavi,Diana Inkpen
Amir Hossein Razavi,Stan Matwin
Amir Saffari,Christian Leistner
Amir Saffari,Horst Bischof
Amit Agarwal,Amit Sasturkar
Amit Agarwal,Hema Swetha Koppula
Amit Agarwal,Krishna P. Leela
Amit Agarwal,Krishna Prasad Chitrapura
Amit Agarwal,Sachin Garg
Amit Behal,Ana Lelescu
Amit Behal,Bin He 0001
Amit Behal,Cheryl A. Kieliszewski
Amit Behal,Li Zhang 0007
Amit Behal,Linda Kato
Amit Behal,Xian Wu
Amit C. Awekar,Paul Breimyer
Amit Goyal 0002,Francesco Bonchi
Amit K. Agrawal,Rama Chellappa
Amit K. Agrawal,Ramesh Raskar
Amit K. Agrawal,Yi Xu
Amit Manjhi,Anthony Tomasic
Amit Manjhi,Bruce M. Maggs
Amit Manjhi,Charles Garrod
Amit Manjhi,Todd C. Mowry
Amit Phadke,Joe Zachariah
Amit Singh 0003,Ganesh Ramakrishnan
Amit Singh 0003,Soumen Chakrabarti
Amit Yadav,Derek L. Eager
Amit Yadav,Niklas Carlsson
Amr Ahmed,Eric P. Xing
Amr Ahmed,Robert F. Murphy
Amr Ahmed,William W. Cohen
Amr El Abbadi,Ahmed Metwally 0001
Amr El Abbadi,Fatih Emekçi
Amy Braverman,David Woollard
Amy Braverman,Dean N. Williams
Amy Braverman,Michael Cayanan
Amy Braverman,Michael Gunson
Amy Braverman,Sean C. Kelly
Amy Isard,Alois C. Knoll
Amy Isard,Colin Matheson
Amy Isard,Jon Oberlander
Amy M. Witherspoon,Amber Chauncey
Amy M. Witherspoon,Ashley Fike
Amy M. Witherspoon,Candice Burkett
Amy McGovern,Jennifer Abernethy
Amy McGovern,John K. Williams
Ana Freire,Alvaro Barreiro
Ana Funes,César Ferri
Ana Funes,José Hernández-Orallo
Ana Lelescu,Cheryl A. Kieliszewski
Ana Lelescu,Li Zhang 0007
Ana Lelescu,Xian Wu
Ana M. Martínez,José Miguel Puerta
Ana Paula Appel,Andrew Tomkins
Ana Paula Appel,Christos Faloutsos
Ana Paula Appel,Jure Leskovec
Ana Paula Appel,Ravi Kumar 0001
Anand A. Joshi,David W. Shattuck
Anand A. Joshi,Dimitrios Pantazis
Anand A. Joshi,Hanna Damasio
Anand A. Joshi,Richard M. Leahy
Anand Madhavan,Andrew Y. Ng
Anand Ranganathan,Anton Riabov
Anand Ranganathan,Michael Weiner
Anand Ranganathan,Octavian Udrea
Anand Rangarajan 0001,Karthik S. Gurumoorthy
Anastasia Ailamaki,Babak Falsafi
Anastasios Kementsietsidis,Min Wang 0001
Anastasios Kementsietsidis,Renée J. Miller
Anat Eyal,Sanjeev Khanna
Anat Levin,William T. Freeman
Anat Levin,Yair Weiss
Anders Brun,Andreas Sigfridsson
Anders Brun,Björn Svensson
Anders Brun,Burak Acar
Anders Brun,Darío Sosa-Cabrera
Anders Brun,Emma Muñoz-Moreno
Anders Brun,Hans Knutsson
Anders Brun,Leila Cammoun
Anders Brun,Magnus Herberthson
Anders Brun,Marcos Martín-Fernández
Anders Brun,Mats T. Andersson
Anders Drachen,Michael Hitchens
Anders Drachen,Ruth Aylett
Anders Drachen,Sandy Louchart
Andre Dekker,Andrew Hope
Andre Dekker,Cary Dehing-Oberije
Andre Dekker,Dirk De Ruysscher
Andre Dekker,Glenn Fung
Andre Dekker,Philippe Lambin
Andre Dekker,Wilfried De Neve
Andre Dekker,Yolande Lievens
Andrea Calì,Georg Gottlob
Andrea Calì,Thomas Lukasiewicz
Andrea Campagna,Rasmus Pagh
Andrea Esuli,Fabrizio Sebastiani 0001
Andrea Fossati,Mathieu Salzmann
Andrea Fossati,Pascal Fua
Andrea Pietracaprina,Eli Upfal
Andrea Pietracaprina,Fabio Vandin
Andrea Stocco 0002,Christian Lebiere
Andrea Stocco 0002,John Robert Anderson
Andrea Tagarelli,Sergio Greco
Andrea Torsello,Marcello Pelillo
Andreas Abecker,Adrian Paschke
Andreas Ess,Akihiko Torii
Andreas Ess,Luc Van Gool
Andreas Ess,Michal Jancosek
Andreas Ess,Tomás Pajdla
Andreas Ess,Wim Moreau
Andreas Geiger 0001,Raquel Urtasun
Andreas Geiger 0001,Trevor Darrell
Andreas Henrich,Daniel Blank
Andreas Henrich,Raik Niemann
Andreas Henrich,Volker Lüdecke
Andreas Hotho,Gerd Stumme
Andreas Juffinger,Elisabeth Lex
Andreas Juffinger,Michael Granitzer
Andreas Krause 0001,William J. Kaiser
Andreas Lommatzsch,Christian Bauckhage
Andreas M. Weiner,Theo Härder
Andreas Maunz,Christoph Helma
Andreas Maunz,Stefan Kramer 0001
Andreas P. Streich,David A. Basin
Andreas P. Streich,Joachim M. Buhmann
Andreas P. Streich,Mario Frank 0001
Andreas Pesenhofer,Giovanna Roda
Andreas Pesenhofer,Helmut Berger
Andreas Schleifer,Volker Linnemann
Andreas Sigfridsson,Björn Svensson
Andreas Sigfridsson,Darío Sosa-Cabrera
Andreas Sigfridsson,Hans Knutsson
Andreas Sigfridsson,Magnus Herberthson
Andreas Wedel,Annemarie Meißner
Andreas Wedel,Clemens Rabe
Andreas Wedel,Daniel Cremers
Andreas Wedel,Uwe Franke
Andreas Züfle,Alexander Katzdobler
Andrei Makhanov,Rui Yang
Andrei Z. Broder,Bo Pang
Andrei Z. Broder,Donald Metzler
Andrei Z. Broder,Edward Y. Chang
Andrei Z. Broder,Evgeniy Gabrilovich
Andrei Z. Broder,Flavio Chierichetti
Andrei Z. Broder,Jeffrey Yuan
Andrei Z. Broder,Lance Riedel
Andrei Z. Broder,Marcus Fontoura
Andrei Z. Broder,Patrick Pantel
Andrei Z. Broder,Peter Ciccolo
Andrei Z. Broder,Ravi Kumar 0001
Andrei Z. Broder,Sergei Vassilvitskii
Andrei Z. Broder,Vanja Josifovski
Andrei Zaharescu,Edmond Boyer
Andrei Zaharescu,Kiran Varanasi
Andrei Zaharescu,Radu Horaud
Andrej Taliun,Arturas Mazeika
Andrej Taliun,Michael H. Böhlen
Andrew B. Goldberg,John C. Shafer
Andrew B. Goldberg,Panayiotis Tsaparas
Andrew B. Goldberg,Rakesh Agrawal 0001
Andrew Blake 0001,Thomas Vetter
Andrew C. Gallagher,Jie Yu 0001
Andrew Carlson,Edith L. M. Law
Andrew Carlson,Flavian Vasile
Andrew Carlson,Scott Gaffney
Andrew Carlson,Sophie H. Wang
Andrew Carlson,Sue Ann Hong
Andrew Carlson,Tom M. Mitchell
Andrew Coles,Derek Long
Andrew Coles,Maria Fox
Andrew Foss,Sandra Zilles
Andrew G. Howard,Tony Jebara
Andrew Goodney,Alex Wergeles
Andrew Goodney,Chris Bissell
Andrew Goodney,Felipe Carino
Andrew Goodney,Naveen Nannapaneni
Andrew H. Fagg,Amy McGovern
Andrew Hope,Wilfried De Neve
Andrew Hope,Yolande Lievens
Andrew J. Cowell,Eric J. Marshall
Andrew J. Cowell,Liam McGrath
Andrew J. Cowell,Michelle L. Gregory
Andrew Mastin,Jeremy Kepner
Andrew Mastin,John W. Fisher III
Andrew McGregor 0001,Xi Zhang
Andrew Moldenke,Thomas G. Dietterich
Andrew Ortony,William Revelle
Andrew Pavlo,Alexander Rasin
Andrew Pavlo,Daniel J. Abadi
Andrew Pavlo,David J. DeWitt
Andrew Pavlo,Erik Paulson 0001
Andrew Pavlo,Michael Stonebraker
Andrew Pavlo,Samuel Madden
Andrew Rabinovich,Serge J. Belongie
Andrew T. Wilson,Charles M. Doutriaux
Andrew T. Wilson,Chris R. Johnson 0001
Andrew T. Wilson,Dean N. Williams
Andrew T. Wilson,Valerio Pascucci
Andrew Temlyakov,Song Wang 0002
Andrew Tomkins,Philip Bohannon
Andrew Trotman,Maria del Rocio Gomez Crisostomo
Andrew Trotman,Mounia Lalmas
Andrew Trotman,Shlomo Geva
Andrew Turpin,Falk Scholer
Andrew Turpin,Justin Zobel
Andrew Turpin,Kalervo Järvelin
Andrew Wagner,Arvind Ganesh
Andrew Wagner,John Wright 0001
Andrew Wagner,Yi Ma 0001
Andrew Yates,Ophir Frieder
Andrew Zisserman,Mark Everingham
Andrey Balmin,Berthold Reinwald
Andrey Balmin,Erik Nijkamp
Andrey Kan,Christopher Leckie
Andrey Kan,James Bailey 0001
Andrey Kan,Jeffrey Chan
Andrey Kolobov,Daniel S. Weld
Andrey Syssoev,Dmitry Lizorkin
Andriy Ivannikov,Tommi Kärkkäinen
Andriy Nikolov,Enrico Motta
Andriy Nikolov,Victoria S. Uren
Andriy V. Miranskyy,David Godwin
Andriy V. Miranskyy,Enzo Cialini
Andrzej Hoppe,Calisto Zuzarte
André F. T. Martins,Eric P. Xing
André F. T. Martins,Noah A. Smith
André Gohr,Alexander Hinneburg
André Gohr,Myra Spiliopoulou
André Gohr,Rene Schult
Andrés Bruhn,Agustín Salgado
Andrés Bruhn,Bodo Rosenhahn
Andrés Bruhn,Joachim Weickert
Andrés Bruhn,Levi Valgaerts
Angelika Kimmig,Luc De Raedt
Angelika Reiser,Alfons Kemper
Anis Drira,Andreas F. Koschan
Anita Raja,William Ribarsky
Anitha Kannan,Andrew B. Goldberg
Anitha Kannan,Christos Faloutsos
Anitha Kannan,John C. Shafer
Anitha Kannan,Michael J. Taylor 0001
Anitha Kannan,Panayiotis Tsaparas
Anitha Kannan,Rakesh Agrawal 0001
Anitha Kannan,Tom Minka
Anitha Kannan,Yi Min Wang
Anna A. Shaverdian,George Michailidis
Anna A. Shaverdian,Hao Zhou
Anna Cinzia Squicciarini,Federica Paci
Anna Cinzia Squicciarini,Mohamed Shehab
Anna K. Jerebko,Charles Florin
Anna K. Jerebko,Gerardo Hermosillo Valadez
Anna K. Jerebko,Linda Moy
Anna K. Jerebko,Luca Bogoni
Anna Monreale,Fabio Pinelli
Anna Monreale,Fosca Giannotti
Anna Monreale,Roberto Trasarti
Anna Pesarin,Alessandro Perina
Anna Pesarin,Alessandro Tavano
Anna Pesarin,Carlo Drioli
Anna Pesarin,Vittorio Murino
Anna V. Little,Mauro Maggioni
Anne Denton,Omar el Ariss
Anne Hendrikse,Luuk J. Spreeuwers
Anne Hendrikse,Raymond N. J. Veldhuis
Anne Schuth,Maarten Marx
Anne Sullivan,Michael Mateas
Annemarie Meißner,Clemens Rabe
Annemarie Meißner,Daniel Cremers
Annemarie Meißner,Uwe Franke
Anthony J. Yezzi,Allen R. Tannenbaum
Anthony K. H. Tung,Masaru Kitsuregawa
Antje Schultz,Philipp Sorg
Antje Schultz,Sergej Sizov
Antje Schultz,Steffen Staab
Anton Dries,Luc De Raedt
Anton Dries,Siegfried Nijssen
Anton Dries,Ulrich Rückert 0002
Anton Michlmayr,Predrag Celikovic
Anton Riabov,Octavian Udrea
Anton Schwaighofer,Ralf Herbrich
Anton Schwaighofer,Thomas Borchert
Anton Schwaighofer,Thore Graepel
Antonella Guzzo,Domenico Saccà
Antonella Guzzo,Edoardo Serra
Antonella Poggi,Cristina Sirangelo
Antoni B. Chan,Nuno Vasconcelos
Antonin Chambolle,Daniel Cremers
Antonin Chambolle,Horst Bischof
Antonino Freno,Edmondo Trentin
Antonino Freno,Marco Gori
Antonio Bahamonde,Oscar Luaces
Antonio Chella,Daniele Zambuto
Antonio Chella,Haris Dindo
Antonio Chella,Massimo Cossentino
Antonio Chella,Valeria Seidita
Antonio Miele,Elisa Quintarelli
Antonio Miele,Letizia Tanca
Antonio Robles-Kelly,Jun Zhou 0001
Antonio Roque,David R. Traum
Antonio Tristán-Vega,Carlos Alberola-López
Antonio Tristán-Vega,Lucilio Cordero-Grande
Antonio Tristán-Vega,Marcos Martín-Fernández
Antonio Tristán-Vega,Pablo Casaseca-de-la-Higuera
Antonio Tristán-Vega,Santiago Aja-Fernández
Antonios Deligiannakis,Alex Delis
Antonios Deligiannakis,Vasilis Vassalos
Antonios Deligiannakis,Yannis Kotidis
Antonios Oikonomopoulos,Ioannis Patras
Antonios Oikonomopoulos,Maja Pantic
Antti Oulasvirta,Barry Schwartz
Antti Oulasvirta,Janne P. Hukkinen
Anupam Joshi,Sameer Madan
Anupam Joshi,Seema Nagar
Anushka Anand,Dang Tuan Nhon
Anushka Anand,Leland Wilkinson
Ao Feng,James Allan
Aparna Seetharaman,Albert Meltzer
Arash Rafiey,Martin Ester
Arash Termehchy,Marianne Winslett
Archana Ganapathi,Armando Fox
Archana Ganapathi,David A. Patterson
Archana Ganapathi,Harumi A. Kuno
Archana Ganapathi,Janet L. Wiener
Archana Ganapathi,Michael I. Jordan
